opportunity_id,sales_agent,product,account,deal_outcome,engage_date,close_date,deal_duration,deal_duration_bucket_month,close_value,price_adjustment_pct
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,132,5+,1054.0,-0.03832116788321168
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,2016-10-25,2017-03-11,137,5+,4514.0,-0.06367973449491807
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,133,5+,50.0,-0.09090909090909091
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,135,5+,588.0,0.06909090909090909
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,128,5+,517.0,-0.06
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,123,5+,49.0,-0.10909090909090909
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,123,5+,57.0,0.03636363636363636
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,126,5+,601.0,0.09272727272727273
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,122,5+,1026.0,-0.06386861313868614
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,126,5+,53.0,-0.03636363636363636
KWVA7VR1,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,134,5+,0.0,0.0
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,126,5+,5169.0,-0.05709595038307187
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,122,5+,4631.0,-0.15523531557825612
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,126,5+,3393.0,0.0
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,118,3-4,0.0,0.0
